ID,Unternehmen,Geschäftsführer,Branchen,Sitz,Anschrift: Straße,Anschrift: PLZ,Anschrift: City,Anschrift: Land,Stammkapital,Persönliche haftender Gesellschafter (Natürliche Person),Persönliche haftender Gesellschafter (Unternehmen),Leitende Direktoren,Liquidatoren,Gegenstand/Geschäftszweck
amtsgericht-mannheim-hrb-230658,Johann Heß Kraftverkehrs und Speditions GmbH,Steffen Heß,Logistics,"Kronau, DE",Heidigstr. 1,76709,Kronau,DE,50000.00 DEM,,,,,"Gegenstand des Unternehmens ist der Betrieb eines Güterkraftverkehrsunternehmens (Güterfern- und Güternahverkehr), einer Spedition und Lagerei. Die Gesellschaft ist berechtigt, Geschäfte jeder Art durchzuführen, die dem oben genannten Geschäftszweck unmittelbar oder mittelbar dienen oder diesen ergänzen. Die Gesellschaft kann sich an anderen Unternehmen jeder Rechtsform beteiligen."
amtsgericht-mannheim-hrb-741282,Online Logistik & Transporte GmbH,Leyla Avara,Logistics,"Mannheim, DE",Seckenheimer Hauptstr. 156,68239,Mannheim,DE,25000.00 EUR,,,,,"Spedition über 3,5 t., Lager, Logistik, Arbeitnehmerüberlassung und Auftragsvermittlung"
amtsgericht-offenbach-hrb-52009,ELF Logistics Germany GmbH,Ching-Yun Yang,Logistics,"Dreieich, DE",Otto-Hahn-Straße 31-33,63303,Dreieich,DE,60000.00 EUR,,,,,"logistische Dienstleistungen, insbesondere Sammelsendungen sowie Beschaffungsdienstleistungen von verschiedenen Produkten wie z.B. Haushaltsartikeln und Baby- und Säuglingsartikeln, abgesehen von genehmigungspflichtigen, gefährlichen oder verbotenen Gegenständen"
amtsgericht-mannheim-hrb-722981,HBR Transport GmbH,,Logistics,"Mannheim, DE",Neckarauer Straße 181,68199,Mannheim,DE,25000.00 EUR,,,,Abdullah Kadir Ahmad,Gütertransport
amtsgericht-mannheim-hrb-742956,NeoCargo AG,,Logistics,"Karlsruhe, DE",Haid- und-Neu-Straße 18,76131,Karlsruhe,DE,74375.00 EUR,,,,,"Die Entwicklung und der Betrieb einer neutralen europäischen digitalen Vernetzungsplattform für Spediteure, Frachtführer und ihre jeweiligen Partner"
amtsgericht-mannheim-hrb-742446,Chief Express Logistik GmbH,"Ilyas Baris Seref, Sevket Bay",Logistics,"Mannheim, DE",Reichenbachstraße 17-19,68309,Mannheim,DE,25000.00 EUR,,,,,"Der Güterkraftverkehr, Umzugstransporte und Lagerlogistik."
amtsgericht-mannheim-hrb-746328,DEAL Logistik & Automotive GmbH,Cagri Sayan,Logistics,"Mannheim, DE",Hafenstraße 15,68159,Mannheim,DE,30000.00 EUR,,,,,"Die Tätigkeit als Produktionshelfer, die Kommissionierung, Sortierung, Verpackung und Umpackung von Waren, die Tätigkeit als Staplerfahrer sowie das Verladen und Entladen von Waren im Logistik- und Automotivebereich. Tätigkeiten nach dem Arbeitnehmerüberlassungsgesetz werden nicht ausgeübt."
amtsgericht-darmstadt-hrb-90970,T & J Transport GmbH,Ioannis Tanopoulos,Logistics,"Raunheim, DE",Kelsterbacher Straße 20,65479,Raunheim,DE,25000.00 EUR,,,,,Güternah- und Fernverkehr aller Art sowie Aufbau und Betreuung von Internetseiten
amtsgericht-darmstadt-hrb-97895,Sharpline Logistics UG (haftungsbeschränkt),Bashir Ahmed Waraich,Logistics,"Groß Gerau, DE",Frankfurter Straße 30,64521,Groß-Gerau,DE,1000.00 EUR,,,,,"der Im- und Export, Lagerlogistik, Kurierdienste und die Vermittlung von Textilien, Bekleidung, Schuhen, Lederwaren, Sportwaren, Metallwaren sowie von Handicrafts und Lebensmitteln"
amtsgericht-mannheim-hrb-362230,EPL GmbH - Express Paket Logistik,Norbert Friedrich Rödel,Logistics,"Ettlingen, DE",Borsigstraße 4,76275,Ettlingen,DE,26000.00 EUR,,,,,"Die Durchführung von genehmigungsfreien Transporten im gewerblichen Güterkraftverkehr mit Fahrzeugen, deren zulässiges Gesamtgewicht einschl. des Gesamtgewichts eines evtl. Anhängers 3,5 Tonnen nicht überschreitet, femer die Vermittlung von Transporten jeder Art im In- und Ausland sowie die Durchführung aller damit zusammenhängenden Nebengeschäfte. Geschäftsgegenstand ist weiter auch die Aufbereitung und Verarbeitung der Sendungen in logistischer Art und Weise. Die Gesellschaft darf auch sonstige Geschäfte betreiben, sofern diese dem Gesellschaftszweck mittelbar oder unmittelbar dienlich sind. Die Gesellschaft darf auch andere Unternehmen gleicher oder ähnlicher Art übernehmen, vertreten und sich an solchen beteiligen. Sie darf auch Zweigniederlassungen errichten."
amtsgericht-darmstadt-hrb-103963,Isler Transport und Logistik UG (haftungsbeschränkt),Emre Isler,Logistics,"Bischofsheim, DE",Römerstraße 43,65474,Bischofsheim,DE,1000.00 EUR,,,,,"Der die Erbringung von Dienst- und Beratungsleistungen im Bereich der Logistik, insbesondere Transportdienst, Direkttransporte und Sonderfahrten."
